bugID, runningTime, thisAddress, accelX, accelY, accelZ, accelStatus, examine;
EEPROM is ready!

0,2,0,0.01,0.03,1.00,0,0.00

0,3,23,0.01,0.03,1.00,0,0.00

0,4,46,0.02,0.04,1.00,0,0.00

0,5,69,0.02,0.03,˛EEPROM is ready!

0,2,0,0.01,0.03,1.00,0,0.00

0,3,23,0.01,0.03,1.00,0,0.00

0,4,46,0.02,0.04,1.00,0,0.00

0,5,69,0.02,0.03,1.00,0,0.00

0,6,92,0.02,0.03,1.00,0,0.00

0,7,115,0.02,0.04,0.99,0,0.00

0,8,138,0.02,0.04,0.99,0,0.00

0,9,161,0.02,0.04,1.00,0,0.00

0,10,184,0.01,0.04,1.00,0,0.00

0,11,207,0.02,0.04,1.01,0,0.00

0,12,230,0.03,0.03,0.99,0,0.00

0,13,253,0.00,0.06,1.00,0,0.00

0,14,276,0.01,0.03,1.04,0,0.00

0,15,299,0.03,0.03,0.90,0,0.00

0,16,322,-0.05,-0.02,1.03,0,0.00

0,17,345,-0.07,-0.16,0.98,0,0.00

0,18,368,-0.48,-0.07,0.83,0,0.00

0,19,391,-0.53,-0.04,0.88,0,0.00

0,20,414,0.29,0.11,0.99,0,0.00

0,21,437,0.23,-0.03,1.12,0,0.00

0,22,460,0.04,-0.81,0.59,0,0.00

0,23,483,0.04,0.10,1.14,0,0.00

0,24,506,0.09,0.33,1.04,0,0.00

0,25,529,-0.30,-0.14,0.95,0,0.00

0,26,552,-0.61,0.07,0.56,0,0.00

0,27,575,-1.00,-0.05,0.46,0,0.00

0,28,598,-0.86,0.10,0.41,0,0.00

0,29,621,0.25,-0.01,1.11,0,0.00

0,30,644,-0.44,0.00,0.98,0,0.00

0,31,667,-0.42,0.03,0.88,0,0.00

0,32,690,-0.33,0.04,0.94,0,0.00

0,33,713,-0.35,-0.01,0.93,0,0.00

0,34,736,-0.29,-0.02,0.94,0,0.00

0,35,759,0.16,0.04,0.92,0,0.00

0,36,782,-0.54,-0.11,0.94,0,0.00

0,37,805,-0.65,-0.37,0.55,0,0.00

0,38,828,0.09,0.04,0.90,0,0.00

0,39,851,-0.14,0.08,1.14,0,0.00

0,40,874,0.05,0.00,1.08,0,0.00

0,41,897,0.06,0.02,1.00,0,0.00

